,call_number,names,nums,white_oaks,lat,lon,geometry
20,19-227,NORTH_HOOSAC_RD,,1,42.72888,-73.198052,"MULTIPOINT (-73.19728600000001 42.7108078, -73.19719240000001 42.7107893)"
21,19-229,SIMONDS_RD,,1,42.7316056,-73.2050909,"MULTIPOINT (-73.19728600000001 42.7108078, -73.19719240000001 42.7107893)"
22,19-246,PARK_ST_+_MAIN_ST,249,0,-73.2060755,42.7128747,"MULTIPOINT (-73.19728600000001 42.7108078, -73.19719240000001 42.7107893)"
23,19-266,NORTH_HOOSAC_RD,,1,42.72888,-73.198052,"MULTIPOINT (-73.19728600000001 42.7108078, -73.19719240000001 42.7107893)"
24,19-267,NORTH_HOOSAC_RD,,1,42.72888,-73.198052,"MULTIPOINT (-73.19728600000001 42.7108078, -73.19719240000001 42.7107893)"
25,19-271,NORTH_HOOSAC_RD,,1,42.72888,-73.198052,"MULTIPOINT (-73.19728600000001 42.7108078, -73.19719240000001 42.7107893)"
26,19-281,NORTH_HOOSAC_RD,,1,42.72888,-73.198052,"MULTIPOINT (-73.19728600000001 42.7108078, -73.19719240000001 42.7107893)"
27,19-290,SIMONDS_RD,,1,42.7316056,-73.2050909,"MULTIPOINT (-73.19728600000001 42.7108078, -73.19719240000001 42.7107893)"
28,19-299,BRIDGES_RD_+_NORTH_HOOSAC_RD,,0,-73.195369,42.727945,"MULTIPOINT (-73.19728600000001 42.7108078, -73.19719240000001 42.7107893)"
29,19-307,NORTH_HOOSAC_RD,,1,42.72888,-73.198052,"MULTIPOINT (-73.19728600000001 42.7108078, -73.19719240000001 42.7107893)"
30,19-322,NORTH_HOOSAC_RD,,1,42.72888,-73.198052,"MULTIPOINT (-73.19728600000001 42.7108078, -73.19719240000001 42.7107893)"
31,19-339,SIMONDS_RD,,1,42.7316056,-73.2050909,"MULTIPOINT (-73.19728600000001 42.7108078, -73.19719240000001 42.7107893)"
32,19-353,NORTH_HOOSAC_RD,,1,42.72888,-73.198052,"MULTIPOINT (-73.19728600000001 42.7108078, -73.19719240000001 42.7107893)"
33,19-365,MAY_ST,,1,42.727274,-73.191734,"MULTIPOINT (-73.19728600000001 42.7108078, -73.19719240000001 42.7107893)"
34,19-377,NORTH_HOOSAC_RD,,1,42.72888,-73.198052,"MULTIPOINT (-73.19728600000001 42.7108078, -73.19719240000001 42.7107893)"
35,19-383,SIMONDS_RD,,1,42.7316056,-73.2050909,"MULTIPOINT (-73.19728600000001 42.7108078, -73.19719240000001 42.7107893)"
36,19-399,SIMONDS_RD,,1,42.7316056,-73.2050909,"MULTIPOINT (-73.19728600000001 42.7108078, -73.19719240000001 42.7107893)"
37,19-408,NORTH_HOOSAC_RD,,1,42.72888,-73.198052,"MULTIPOINT (-73.19728600000001 42.7108078, -73.19719240000001 42.7107893)"
38,19-413,COLE_AVE_+_MAIN_ST,,0,-73.197286,42.7108078,"MULTIPOINT (-73.19728600000001 42.7108078, -73.19719240000001 42.7107893)"
39,19-422,SIMONDS_RD,,1,42.7316056,-73.2050909,"MULTIPOINT (-73.19728600000001 42.7108078, -73.19719240000001 42.7107893)"
40,19-434,SIMONDS_RD,,1,42.7316056,-73.2050909,"MULTIPOINT (-73.19728600000001 42.7108078, -73.19719240000001 42.7107893)"
41,19-439,NORTH_HOOSAC_RD,,1,42.72888,-73.198052,"MULTIPOINT (-73.19728600000001 42.7108078, -73.19719240000001 42.7107893)"
42,19-440,NORTH_HOOSAC_RD,,1,42.72888,-73.198052,"MULTIPOINT (-73.19728600000001 42.7108078, -73.19719240000001 42.7107893)"
43,19-454,NORTH_HOOSAC_RD,,1,42.72888,-73.198052,"MULTIPOINT (-73.19728600000001 42.7108078, -73.19719240000001 42.7107893)"
44,19-479,SIMONDS_RD,,1,42.7316056,-73.2050909,"MULTIPOINT (-73.19728600000001 42.7108078, -73.19719240000001 42.7107893)"
45,19-506,BRIDGES_RD,,1,42.731103,-73.198242,"MULTIPOINT (-73.19728600000001 42.7108078, -73.19719240000001 42.7107893)"
46,19-507,NORTH_HOOSAC_RD,,1,42.72888,-73.198052,"MULTIPOINT (-73.19728600000001 42.7108078, -73.19719240000001 42.7107893)"
47,19-518,NORTH_HOOSAC_RD,,1,42.72888,-73.198052,"MULTIPOINT (-73.19728600000001 42.7108078, -73.19719240000001 42.7107893)"
48,19-532,NORTH_HOOSAC_RD,,1,42.72888,-73.198052,"MULTIPOINT (-73.19728600000001 42.7108078, -73.19719240000001 42.7107893)"
49,19-534,SIMONDS_RD,,1,42.7316056,-73.2050909,"MULTIPOINT (-73.19728600000001 42.7108078, -73.19719240000001 42.7107893)"
50,19-546,SAND_SPRINGS_RD,,1,42.734622,-73.203557,"MULTIPOINT (-73.19728600000001 42.7108078, -73.19719240000001 42.7107893)"
51,19-559,COLD_SPRING_RD_+_THORNLIEBANK_RD,,0,-73.2188044,42.7109436,"MULTIPOINT (-73.19728600000001 42.7108078, -73.19719240000001 42.7107893)"
52,19-563,COLD_SPRING_RD_+_WOODCOCK_RD,,0,-73.2345544,42.6784982,"MULTIPOINT (-73.19728600000001 42.7108078, -73.19719240000001 42.7107893)"
53,19-574,NORTH_HOOSAC_RD,,1,42.72888,-73.198052,"MULTIPOINT (-73.19728600000001 42.7108078, -73.19719240000001 42.7107893)"
54,19-601,BRIDGES_RD,,1,42.731103,-73.198242,"MULTIPOINT (-73.19728600000001 42.7108078, -73.19719240000001 42.7107893)"
55,19-602,BRIDGES_RD,,1,42.731103,-73.198242,"MULTIPOINT (-73.19728600000001 42.7108078, -73.19719240000001 42.7107893)"
56,19-641,NORTH_HOOSAC_RD,,1,42.72888,-73.198052,"MULTIPOINT (-73.19728600000001 42.7108078, -73.19719240000001 42.7107893)"
57,19-653,SIMONDS_RD,,1,42.7316056,-73.2050909,"MULTIPOINT (-73.19728600000001 42.7108078, -73.19719240000001 42.7107893)"
58,19-672,NORTH_HOOSAC_RD,,1,42.72888,-73.198052,"MULTIPOINT (-73.19728600000001 42.7108078, -73.19719240000001 42.7107893)"
59,19-674,NORTH_HOOSAC_RD,,1,42.72888,-73.198052,"MULTIPOINT (-73.19728600000001 42.7108078, -73.19719240000001 42.7107893)"
60,19-704,NORTH_HOOSAC_RD,,1,42.72888,-73.198052,"MULTIPOINT (-73.19728600000001 42.7108078, -73.19719240000001 42.7107893)"
61,19-705,SIMONDS_RD,,1,42.7316056,-73.2050909,"MULTIPOINT (-73.19728600000001 42.7108078, -73.19719240000001 42.7107893)"
62,19-710,MAIN_ST_+_COLE_AVE,,0,-73.197286,42.7108078,"MULTIPOINT (-73.19728600000001 42.7108078, -73.19719240000001 42.7107893)"
63,19-721,NORTH_HOOSAC_RD,,1,42.72888,-73.198052,"MULTIPOINT (-73.19728600000001 42.7108078, -73.19719240000001 42.7107893)"
64,19-747,SIMONDS_RD,,1,42.7316056,-73.2050909,"MULTIPOINT (-73.19728600000001 42.7108078, -73.19719240000001 42.7107893)"
65,19-776,NORTH_HOOSAC_RD,,1,42.72888,-73.198052,"MULTIPOINT (-73.19728600000001 42.7108078, -73.19719240000001 42.7107893)"
66,19-797,BRIDGES_RD,,1,42.731103,-73.198242,"MULTIPOINT (-73.19728600000001 42.7108078, -73.19719240000001 42.7107893)"
67,19-800,SIMONDS_RD,,1,42.7316056,-73.2050909,"MULTIPOINT (-73.19728600000001 42.7108078, -73.19719240000001 42.7107893)"
68,19-808,SIMONDS_RD,,1,42.7316056,-73.2050909,"MULTIPOINT (-73.19728600000001 42.7108078, -73.19719240000001 42.7107893)"
69,19-815,SIMONDS_RD,,1,42.7316056,-73.2050909,"MULTIPOINT (-73.19728600000001 42.7108078, -73.19719240000001 42.7107893)"
70,19-829,PINE_COBBLE_RD_+_NORTH_HOOSAC_RD,,0,-73.185406,42.714296,"MULTIPOINT (-73.19728600000001 42.7108078, -73.19719240000001 42.7107893)"
71,19-836,WATER_ST_+_MAIN_ST,,0,-73.1995061,42.7112507,"MULTIPOINT (-73.19728600000001 42.7108078, -73.19719240000001 42.7107893)"
72,19-875,NORTH_HOOSAC_RD,,1,42.72888,-73.198052,"MULTIPOINT (-73.19728600000001 42.7108078, -73.19719240000001 42.7107893)"
73,19-877,CHARLES_ST,,1,42.729715,-73.195682,"MULTIPOINT (-73.19728600000001 42.7108078, -73.19719240000001 42.7107893)"
74,19-902,NORTH_HOOSAC_RD,,1,42.72888,-73.198052,"MULTIPOINT (-73.19728600000001 42.7108078, -73.19719240000001 42.7107893)"
75,19-906,NORTH_HOOSAC_RD,,1,42.72888,-73.198052,"MULTIPOINT (-73.19728600000001 42.7108078, -73.19719240000001 42.7107893)"
76,19-928,SIMONDS_RD,,1,42.7316056,-73.2050909,"MULTIPOINT (-73.19728600000001 42.7108078, -73.19719240000001 42.7107893)"
77,19-951,NORTH_HOOSAC_RD,,1,42.72888,-73.198052,"MULTIPOINT (-73.19728600000001 42.7108078, -73.19719240000001 42.7107893)"
78,19-972,SIMONDS_RD,,1,42.7316056,-73.2050909,"MULTIPOINT (-73.19728600000001 42.7108078, -73.19719240000001 42.7107893)"
79,19-1010,NORTH_HEMLOCK_LN,1023,1,42.725781,-73.205993,"MULTIPOINT (-73.19728600000001 42.7108078, -73.19719240000001 42.7107893)"
80,19-1011,NORTH_ST,1449,1,42.7264747,-73.2046469,"MULTIPOINT (-73.19728600000001 42.7108078, -73.19719240000001 42.7107893)"
81,19-1015,NORTH_HOOSAC_RD,,1,42.72888,-73.198052,"MULTIPOINT (-73.19728600000001 42.7108078, -73.19719240000001 42.7107893)"
82,19-1022,SIMONDS_RD,,1,42.7316056,-73.2050909,"MULTIPOINT (-73.19728600000001 42.7108078, -73.19719240000001 42.7107893)"
83,19-1034,MAIN_ST_+_WATER_ST,,0,-73.1995061,42.7112507,"MULTIPOINT (-73.19728600000001 42.7108078, -73.19719240000001 42.7107893)"
84,19-1053,SUMMER_ST,,1,42.727871,-73.192805,"MULTIPOINT (-73.19728600000001 42.7108078, -73.19719240000001 42.7107893)"
85,19-1071,SIMONDS_RD,,1,42.7316056,-73.2050909,"MULTIPOINT (-73.19728600000001 42.7108078, -73.19719240000001 42.7107893)"
86,19-1072,NORTH_HOOSAC_RD,,1,42.72888,-73.198052,"MULTIPOINT (-73.19728600000001 42.7108078, -73.19719240000001 42.7107893)"
87,19-1092,SIMONDS_RD,,1,42.7316056,-73.2050909,"MULTIPOINT (-73.19728600000001 42.7108078, -73.19719240000001 42.7107893)"
88,19-1093,NORTH_HOOSAC_RD_+_PINE_COBBLE_RD,,0,-73.185406,42.714296,"MULTIPOINT (-73.19728600000001 42.7108078, -73.19719240000001 42.7107893)"
89,19-1094,NORTH_HOOSAC_RD,,1,42.72888,-73.198052,"MULTIPOINT (-73.19728600000001 42.7108078, -73.19719240000001 42.7107893)"
90,19-1118,BRIDGES_RD,,1,42.731103,-73.198242,"MULTIPOINT (-73.19728600000001 42.7108078, -73.19719240000001 42.7107893)"
91,19-1121,BRIDGES_RD,,1,42.731103,-73.198242,"MULTIPOINT (-73.19728600000001 42.7108078, -73.19719240000001 42.7107893)"
92,19-1137,SIMONDS_RD,,1,42.7316056,-73.2050909,"MULTIPOINT (-73.19728600000001 42.7108078, -73.19719240000001 42.7107893)"
93,19-1138,NORTH_HOOSAC_RD,,1,42.72888,-73.198052,"MULTIPOINT (-73.19728600000001 42.7108078, -73.19719240000001 42.7107893)"
94,19-1152,NORTH_HOOSAC_RD,,1,42.72888,-73.198052,"MULTIPOINT (-73.19728600000001 42.7108078, -73.19719240000001 42.7107893)"
95,19-1153,MCLAIN_CT,,1,42.734711,-73.199967,"MULTIPOINT (-73.19728600000001 42.7108078, -73.19719240000001 42.7107893)"
96,19-1176,NORTH_HOOSAC_RD,,1,42.72888,-73.198052,"MULTIPOINT (-73.19728600000001 42.7108078, -73.19719240000001 42.7107893)"
97,19-1201,SIMONDS_RD,,1,42.7316056,-73.2050909,"MULTIPOINT (-73.19728600000001 42.7108078, -73.19719240000001 42.7107893)"
98,19-1208,NORTH_HOOSAC_RD,,1,42.72888,-73.198052,"MULTIPOINT (-73.19728600000001 42.7108078, -73.19719240000001 42.7107893)"
99,19-1209,NORTH_HOOSAC_RD,,1,42.72888,-73.198052,"MULTIPOINT (-73.19728600000001 42.7108078, -73.19719240000001 42.7107893)"
100,19-1256,SIMONDS_RD,,1,42.7316056,-73.2050909,"MULTIPOINT (-73.19728600000001 42.7108078, -73.19719240000001 42.7107893)"
101,19-1258,BALLOU_LN,,1,42.733052,-73.193891,"MULTIPOINT (-73.19728600000001 42.7108078, -73.19719240000001 42.7107893)"
102,19-1272,NORTH_HOOSAC_RD,,1,42.72888,-73.198052,"MULTIPOINT (-73.19728600000001 42.7108078, -73.19719240000001 42.7107893)"
103,19-1290,BRIDGES_RD,,1,42.731103,-73.198242,"MULTIPOINT (-73.19728600000001 42.7108078, -73.19719240000001 42.7107893)"
104,19-1292,NORTH_HOOSAC_RD,,1,42.72888,-73.198052,"MULTIPOINT (-73.19728600000001 42.7108078, -73.19719240000001 42.7107893)"
105,19-1321,NORTH_HOOSAC_RD,,1,42.72888,-73.198052,"MULTIPOINT (-73.19728600000001 42.7108078, -73.19719240000001 42.7107893)"
106,19-1332,PINES_LODGE_PARK,,1,42.730794,-73.18713,"MULTIPOINT (-73.19728600000001 42.7108078, -73.19719240000001 42.7107893)"
107,19-1334,SAND_SPRINGS_RD,,1,42.734622,-73.203557,"MULTIPOINT (-73.19728600000001 42.7108078, -73.19719240000001 42.7107893)"
108,19-1347,COLE_AVE_+_SCHOOL_ST,,0,-73.1955111,42.7138962,"MULTIPOINT (-73.19728600000001 42.7108078, -73.19719240000001 42.7107893)"
109,19-1352,SIMONDS_RD,,1,42.7316056,-73.2050909,"MULTIPOINT (-73.19728600000001 42.7108078, -73.19719240000001 42.7107893)"
110,19-1357,NORTH_HOOSAC_RD,,1,42.72888,-73.198052,"MULTIPOINT (-73.19728600000001 42.7108078, -73.19719240000001 42.7107893)"
111,19-1368,NORTH_HOOSAC_RD,,1,42.72888,-73.198052,"MULTIPOINT (-73.19728600000001 42.7108078, -73.19719240000001 42.7107893)"
112,19-1396,SIMONDS_RD,,1,42.7316056,-73.2050909,"MULTIPOINT (-73.19728600000001 42.7108078, -73.19719240000001 42.7107893)"
113,19-1423,NORTH_HOOSAC_RD,,1,42.72888,-73.198052,"MULTIPOINT (-73.19728600000001 42.7108078, -73.19719240000001 42.7107893)"
114,19-1425,SIMONDS_RD,,1,42.7316056,-73.2050909,"MULTIPOINT (-73.19728600000001 42.7108078, -73.19719240000001 42.7107893)"
115,19-1446,BRIDGES_RD,,1,42.731103,-73.198242,"MULTIPOINT (-73.19728600000001 42.7108078, -73.19719240000001 42.7107893)"
116,19-1452,SIMONDS_RD,,1,42.7316056,-73.2050909,"MULTIPOINT (-73.19728600000001 42.7108078, -73.19719240000001 42.7107893)"
117,19-1476,NORTH_HOOSAC_RD,,1,42.72888,-73.198052,"MULTIPOINT (-73.19728600000001 42.7108078, -73.19719240000001 42.7107893)"
118,19-1493,NORTH_HOOSAC_RD,,1,42.72888,-73.198052,"MULTIPOINT (-73.19728600000001 42.7108078, -73.19719240000001 42.7107893)"
119,19-1512,COLD_SPRING_RD_+_THORNLIEBANK_RD,,0,-73.2188044,42.7109436,"MULTIPOINT (-73.19728600000001 42.7108078, -73.19719240000001 42.7107893)"
120,19-1518,SIMONDS_RD,,1,42.7316056,-73.2050909,"MULTIPOINT (-73.19728600000001 42.7108078, -73.19719240000001 42.7107893)"
121,19-1535,NORTH_HOOSAC_RD,,1,42.72888,-73.198052,"MULTIPOINT (-73.19728600000001 42.7108078, -73.19719240000001 42.7107893)"
122,19-1555,NORTH_HOOSAC_RD,,1,42.72888,-73.198052,"MULTIPOINT (-73.19728600000001 42.7108078, -73.19719240000001 42.7107893)"
123,19-1556,BRIDGES_RD,,1,42.731103,-73.198242,"MULTIPOINT (-73.19728600000001 42.7108078, -73.19719240000001 42.7107893)"
124,19-1569,SIMONDS_RD,,1,42.7316056,-73.2050909,"MULTIPOINT (-73.19728600000001 42.7108078, -73.19719240000001 42.7107893)"
125,19-1571,NORTH_HOOSAC_RD,,1,42.72888,-73.198052,"MULTIPOINT (-73.19728600000001 42.7108078, -73.19719240000001 42.7107893)"
126,19-1577,NORTH_HOOSAC_RD,,1,42.72888,-73.198052,"MULTIPOINT (-73.19728600000001 42.7108078, -73.19719240000001 42.7107893)"
127,19-1586,NORTH_HOOSAC_RD,,1,42.72888,-73.198052,"MULTIPOINT (-73.19728600000001 42.7108078, -73.19719240000001 42.7107893)"
128,19-1594,LUCE_RD_+_MAIN_ST,,0,-73.1818739,42.7015838,"MULTIPOINT (-73.19728600000001 42.7108078, -73.19719240000001 42.7107893)"
129,19-1623,NORTH_HOOSAC_RD,,1,42.72888,-73.198052,"MULTIPOINT (-73.19728600000001 42.7108078, -73.19719240000001 42.7107893)"
130,19-1626,NORTH_HOOSAC_RD,,1,42.72888,-73.198052,"MULTIPOINT (-73.19728600000001 42.7108078, -73.19719240000001 42.7107893)"
131,19-1652,SIMONDS_RD,,1,42.7316056,-73.2050909,"MULTIPOINT (-73.19728600000001 42.7108078, -73.19719240000001 42.7107893)"
132,19-1664,NORTH_HOOSAC_RD,,1,42.72888,-73.198052,"MULTIPOINT (-73.19728600000001 42.7108078, -73.19719240000001 42.7107893)"
133,19-1683,NORTH_HOOSAC_RD,,1,42.72888,-73.198052,"MULTIPOINT (-73.19728600000001 42.7108078, -73.19719240000001 42.7107893)"
134,19-1711,SIMONDS_RD,,1,42.7316056,-73.2050909,"MULTIPOINT (-73.19728600000001 42.7108078, -73.19719240000001 42.7107893)"
135,19-1726,SIMONDS_RD,,1,42.7316056,-73.2050909,"MULTIPOINT (-73.19728600000001 42.7108078, -73.19719240000001 42.7107893)"
136,19-1727,NORTH_HOOSAC_RD,,1,42.72888,-73.198052,"MULTIPOINT (-73.19728600000001 42.7108078, -73.19719240000001 42.7107893)"
137,19-1746,NORTH_HOOSAC_RD,,1,42.72888,-73.198052,"MULTIPOINT (-73.19728600000001 42.7108078, -73.19719240000001 42.7107893)"
138,19-1748,NORTH_HOOSAC_RD,,1,42.72888,-73.198052,"MULTIPOINT (-73.19728600000001 42.7108078, -73.19719240000001 42.7107893)"
139,19-1768,NORTH_HOOSAC_RD,,1,42.72888,-73.198052,"MULTIPOINT (-73.19728600000001 42.7108078, -73.19719240000001 42.7107893)"
140,19-1776,SIMONDS_RD,,1,42.7316056,-73.2050909,"MULTIPOINT (-73.19728600000001 42.7108078, -73.19719240000001 42.7107893)"
141,19-1814,NORTH_HOOSAC_RD,,1,42.72888,-73.198052,"MULTIPOINT (-73.19728600000001 42.7108078, -73.19719240000001 42.7107893)"
142,19-1833,SIMONDS_RD,,1,42.7316056,-73.2050909,"MULTIPOINT (-73.19728600000001 42.7108078, -73.19719240000001 42.7107893)"
143,19-1836,NORTH_HOOSAC_RD,,1,42.72888,-73.198052,"MULTIPOINT (-73.19728600000001 42.7108078, -73.19719240000001 42.7107893)"
144,19-1837,NORTH_HOOSAC_RD,,1,42.72888,-73.198052,"MULTIPOINT (-73.19728600000001 42.7108078, -73.19719240000001 42.7107893)"
145,19-1871,BRIDGES_RD,,1,42.731103,-73.198242,"MULTIPOINT (-73.19728600000001 42.7108078, -73.19719240000001 42.7107893)"
146,19-1887,COLE_AVE_+_MAIN_ST,,0,-73.197286,42.7108078,"MULTIPOINT (-73.19728600000001 42.7108078, -73.19719240000001 42.7107893)"
147,19-1925,NORTH_HOOSAC_RD,,1,42.72888,-73.198052,"MULTIPOINT (-73.19728600000001 42.7108078, -73.19719240000001 42.7107893)"
148,19-1928,SIMONDS_RD,,1,42.7316056,-73.2050909,"MULTIPOINT (-73.19728600000001 42.7108078, -73.19719240000001 42.7107893)"
149,19-1942,NORTH_HOOSAC_RD,,1,42.72888,-73.198052,"MULTIPOINT (-73.19728600000001 42.7108078, -73.19719240000001 42.7107893)"
150,19-1951,NORTH_HOOSAC_RD,,1,42.72888,-73.198052,"MULTIPOINT (-73.19728600000001 42.7108078, -73.19719240000001 42.7107893)"
151,19-1955,NORTH_HOOSAC_RD_+_BRIDGES_RD,,0,-73.195369,42.727945,"MULTIPOINT (-73.19728600000001 42.7108078, -73.19719240000001 42.7107893)"
152,19-1968,MCLAIN_CT,249,1,42.734711,-73.199967,"MULTIPOINT (-73.19728600000001 42.7108078, -73.19719240000001 42.7107893)"
153,19-1975,NORTH_HOOSAC_RD,,1,42.72888,-73.198052,"MULTIPOINT (-73.19728600000001 42.7108078, -73.19719240000001 42.7107893)"
154,19-1976,SIMONDS_RD,,1,42.7316056,-73.2050909,"MULTIPOINT (-73.19728600000001 42.7108078, -73.19719240000001 42.7107893)"
155,19-1997,NORTH_HOOSAC_RD,,1,42.72888,-73.198052,"MULTIPOINT (-73.19728600000001 42.7108078, -73.19719240000001 42.7107893)"
156,19-2023,SIMONDS_RD,,1,42.7316056,-73.2050909,"MULTIPOINT (-73.19728600000001 42.7108078, -73.19719240000001 42.7107893)"
157,19-2024,SIMONDS_RD,,1,42.7316056,-73.2050909,"MULTIPOINT (-73.19728600000001 42.7108078, -73.19719240000001 42.7107893)"
158,19-2046,NORTH_HOOSAC_RD,,1,42.72888,-73.198052,"MULTIPOINT (-73.19728600000001 42.7108078, -73.19719240000001 42.7107893)"
159,19-2049,SIMONDS_RD,,1,42.7316056,-73.2050909,"MULTIPOINT (-73.19728600000001 42.7108078, -73.19719240000001 42.7107893)"
160,19-2051,SIMONDS_RD,,1,42.7316056,-73.2050909,"MULTIPOINT (-73.19728600000001 42.7108078, -73.19719240000001 42.7107893)"
161,19-2062,NORTH_HOOSAC_RD,,1,42.72888,-73.198052,"MULTIPOINT (-73.19728600000001 42.7108078, -73.19719240000001 42.7107893)"
162,19-2068,BRIDGES_RD,,1,42.731103,-73.198242,"MULTIPOINT (-73.19728600000001 42.7108078, -73.19719240000001 42.7107893)"
163,19-2079,NORTH_HOOSAC_RD,,1,42.72888,-73.198052,"MULTIPOINT (-73.19728600000001 42.7108078, -73.19719240000001 42.7107893)"
164,19-2088,NORTH_HOOSAC_RD,,1,42.72888,-73.198052,"MULTIPOINT (-73.19728600000001 42.7108078, -73.19719240000001 42.7107893)"
165,19-2090,SIMONDS_RD,,1,42.7316056,-73.2050909,"MULTIPOINT (-73.19728600000001 42.7108078, -73.19719240000001 42.7107893)"
166,19-2103,BRIDGES_RD,,1,42.731103,-73.198242,"MULTIPOINT (-73.19728600000001 42.7108078, -73.19719240000001 42.7107893)"
167,19-2112,NORTH_HOOSAC_RD,,1,42.72888,-73.198052,"MULTIPOINT (-73.19728600000001 42.7108078, -73.19719240000001 42.7107893)"
168,19-2119,MAIN_ST_+_SPRING_ST,,0,-73.2038981,42.7123852,"MULTIPOINT (-73.19728600000001 42.7108078, -73.19719240000001 42.7107893)"
169,19-2134,NORTH_HOOSAC_RD,,1,42.72888,-73.198052,"MULTIPOINT (-73.19728600000001 42.7108078, -73.19719240000001 42.7107893)"
170,19-2157,SIMONDS_RD,,1,42.7316056,-73.2050909,"MULTIPOINT (-73.19728600000001 42.7108078, -73.19719240000001 42.7107893)"
171,19-2159,HENDERSON_RD_+_NORTH_HOOSAC_RD,,0,-73.191046,42.724244,"MULTIPOINT (-73.19728600000001 42.7108078, -73.19719240000001 42.7107893)"
172,19-2160,SIMONDS_RD,,1,42.7316056,-73.2050909,"MULTIPOINT (-73.19728600000001 42.7108078, -73.19719240000001 42.7107893)"
173,19-2174,NORTH_HOOSAC_RD,,1,42.72888,-73.198052,"MULTIPOINT (-73.19728600000001 42.7108078, -73.19719240000001 42.7107893)"
174,19-2218,NORTH_HOOSAC_RD,,1,42.72888,-73.198052,"MULTIPOINT (-73.19728600000001 42.7108078, -73.19719240000001 42.7107893)"
175,19-2243,BALLOU_LN,,1,42.733052,-73.193891,"MULTIPOINT (-73.19728600000001 42.7108078, -73.19719240000001 42.7107893)"
176,19-2251,SIMONDS_RD,,1,42.7316056,-73.2050909,"MULTIPOINT (-73.19728600000001 42.7108078, -73.19719240000001 42.7107893)"
177,19-2271,NORTH_HOOSAC_RD,,1,42.72888,-73.198052,"MULTIPOINT (-73.19728600000001 42.7108078, -73.19719240000001 42.7107893)"
178,19-2292,SIMONDS_RD,,1,42.7316056,-73.2050909,"MULTIPOINT (-73.19728600000001 42.7108078, -73.19719240000001 42.7107893)"
179,19-2294,NORTH_HOOSAC_RD,,1,42.72888,-73.198052,"MULTIPOINT (-73.19728600000001 42.7108078, -73.19719240000001 42.7107893)"
180,19-2318,NORTH_HOOSAC_RD,,1,42.72888,-73.198052,"MULTIPOINT (-73.19728600000001 42.7108078, -73.19719240000001 42.7107893)"
